key,source,target
DivineTechText/Param_DashDMGInc,[Dash] Damage Bonus: <Green_24>%s%</>,
DivineTechText/Param_DashDUInc,[Dash] Duration Bonus: <Green_24>%s%</>,
DivineTechText/Param_DashChargeInc,[Dash] Charges Bonus: <Green_24>%s</>,
DivineTechText/Param_DashRangeInc,[Dash] Area Bonus: <Green_24>%s%</>,
DivineTechText/Param_DashDistanceInc,[Dash] Distance Bonus: <Green_24>%s%</>,
DivineTechText/Param_SkillDMGInc,[Tactical Skill] DMG Bonus: <Green_24>%s%</>,
DivineTechText/Param_SkillDUInc,[Tactical Skill] Duration Bonus: <Green_24>%s%</>,
DivineTechText/Param_SkillRangeInc,[Tactical Skill] Area Bonus: <Green_24>%s%</>,
DivineTechText/Param_ThrowDMGInc,[Throw] Damage Bonus: <Green_24>%s%</>,
DivineTechText/Param_ThrowRangeInc,[Throw] Area Bonus: <Green_24>%s%</>,
DivineTechText/Param_WeaponDMGRedu,[Weapon] Damage Reduction: <red_12>%s%</>,
DivineTechText/Param_WeaponDMGInc,[Weapon] Damage Bonus: <Green_24>%s%</>,
DivineTechText/Param_WeaponKnockbackInc,[Weapon] Knockback Lv Bonus: <Green_24>%s</>,
DivineTechText/Param_WeaponRangeInc,[Weapon] Range Bonus: <Green_24>%s%</>,
DivineTechText/Param_FireRateInc,[Weapon] Fire Rate Bonus: <Green_24>%s%</>,
DivineTechText/Param_WeaponMagazineRedu,[Weapon] Magazine Capacity Reduction: <red_12>%s%</>,
DivineTechText/Param_WeaponMagazineInc,[Weapon] Magazine Capacity Bonus: <Green_24>%s%</>,
DivineTechText/Param_WeaponRicochetInc,[Weapon] Ricochet Count Bonus: <Green_24>%s</>,
DivineTechText/Param_WeaponProjInc,[Weapon] Projectile Count Bonus: <Green_24>%s</>,
DivineTechText/Param_WeaponPierceInc,[Weapon] Pierce Count Bonus: <Green_24>%s</>,
DivineTechText/Param_PsionicDMGInc,[Psionic] Damage Bonus: <Green_24>%s%</>,
DivineTechText/Param_PsionicRangeInc,[Psionic] Area Bonus: <Green_24>%s%</>,
DivineTechText/Param_AuxWeaponDMGInc,[Auxiliary Weapon] Damage Bonus: <Green_24>%s%</>,
DivineTechText/Param_AuxWeaponDUInc,[Auxiliary Weapon] Duration Bonus: <Green_24>%s%</>,
DivineTechText/Param_ChaseDMGInc,[Chase] Damage Bonus: <Green_24>%s%</>,
DivineTechText/Param_ChaseRangeInc,[Chase] Area Bonus: <Green_24>%s%</>,
DivineTechText/TechDesc7041,[Poisoned] enemies have a chance to drop an explosive grenade on death.,
DivineTechText/TechName7041,Parting Gift,
DivineTechText/TechDesc1018,"Fires a sustained laser beam from orbit that automatically tracks ground targets, dealing continuous damage and leaving behind scorched ground.",
DivineTechText/Param_RangeSpread,Spread Area: <Green_24>%s</>,
DivineTechText/Param_DMGMult,Damage Multiplier: <Green_24>%s%</>,
DivineTechText/TechUI4016_1,Damage Multiplier: <Green_24>%s%</>,
DivineTechText/Param_DMGInc,Damage Bonus: <Green_24>%s%</>,
DivineTechText/Qiangjiang_Passive4_Name,Damage Boost,
DivineTechText/Param_DMGRadius,AoE Radius: <Green_24>%s</>,
DivineTechText/Param_DMG,Damage: <Green_24>%s</>,
DivineTechText/Param_Flat_DMG,Damage: <Green_24>{Param}</>,
DivineTechText/TechDesc7037,You deal extra damage to incapacitated ([Stunned]/[Frozen]) enemies.,
DivineTechText/BaoZha_Chase2_Desc,There is a chance to launch 3 homing missiles at enemies on hits.,
DivineTechText/LieYan_Passive7_Desc,Increases your Status Ailment damage. Dead enemies spread their debuff to nearby foes.,
DivineTechText/BaoZha_Passive4_Desc,Increases weapon damage after using [Throw].,
DivineTechText/TechName6016,Home Run,
DivineTechText/HanBing_Throw1_Name,Frost Grenade,
DivineTechText/HanBing_Psionic2_Desc,"When a frozen enemy is killed, there is a chance to fire 4 ice shards outward.",
DivineTechText/TechName7037,Cryo Detonation Engineering,
DivineTechText/HanBing_Chase1_Name,Ice Blade,
DivineTechText/TechName7038,Frostfire Thruster,
DivineTechText/HanBing_Psionic2_Name,Iceburst Protocol,
DivineTechText/Param_IceShardRange,Ice Shard Range: <Green_24>%s</>,
DivineTechText/Param_IceShardCount,Ice Shard Count: <Green_24>%s</>,
DivineTechText/Param_IceShardMax,Max Ice Shards: <Green_24>%s</>,
DivineTechText/Param_IceGenTime,Ice Shard Generation Time: <Green_24>%s sec</>,
DivineTechText/HanBing_Passive7_Name,Frost Module,
DivineTechText/HanBing_Skill1_Name,Icicle Array,
DivineTechText/BaoZha_Psionic1_Name,Shockwave Protocol,
