key,source,target
DivineTechText/Param_DashDMGInc,[Dash] Damage Bonus: <Green_24>%s%</>,[Avanço] Bônus de Dano: <Green_24>%s%</>
DivineTechText/Param_DashDUInc,[Dash] Duration Bonus: <Green_24>%s%</>,[Avanço] Bônus de Duração: <Green_24>%s%</>
DivineTechText/Param_DashChargeInc,[Dash] Charges Bonus: <Green_24>%s</>,[Avanço] Bônus de Cargas: <Green_24>%s</>
DivineTechText/Param_DashRangeInc,[Dash] Area Bonus: <Green_24>%s%</>,[Avanço] Bônus de Área: <Green_24>%s%</>
DivineTechText/Param_DashDistanceInc,[Dash] Distance Bonus: <Green_24>%s%</>,[Avanço] Bônus de Distância: <Green_24>%s%</>
DivineTechText/Param_SkillDMGInc,[Tactical Skill] DMG Bonus: <Green_24>%s%</>,[Habilidade Tática] Bônus de Dano: <Green_24>%s%</>
DivineTechText/Param_SkillDUInc,[Tactical Skill] Duration Bonus: <Green_24>%s%</>,[Habilidade Tática] Bônus de Duração: <Green_24>%s%</>
DivineTechText/Param_SkillRangeInc,[Tactical Skill] Area Bonus: <Green_24>%s%</>,[Habilidade Tática] Bônus de Área: <Green_24>%s%</>
DivineTechText/Param_ThrowDMGInc,[Throw] Damage Bonus: <Green_24>%s%</>,[Arremesso] Bônus de Dano: <Green_24>%s%</>
DivineTechText/Param_ThrowRangeInc,[Throw] Area Bonus: <Green_24>%s%</>,[Arremesso] Bônus de Área: <Green_24>%s%</>
DivineTechText/Param_WeaponDMGRedu,[Weapon] Damage Reduction: <red_12>%s%</>,[Arma] Redução de Dano: <red_12>%s%</>
DivineTechText/Param_WeaponDMGInc,[Weapon] Damage Bonus: <Green_24>%s%</>,[Arma] Bônus de Dano: <Green_24>%s%</>
DivineTechText/Param_WeaponKnockbackInc,[Weapon] Knockback Lv Bonus: <Green_24>%s</>,[Arma] Bônus de Nv. de Repulsão: <Green_24>%s</>
DivineTechText/Param_WeaponRangeInc,[Weapon] Range Bonus: <Green_24>%s%</>,[Arma] Bônus de Alcance: <Green_24>%s%</>
DivineTechText/Param_FireRateInc,[Weapon] Fire Rate Bonus: <Green_24>%s%</>,[Arma] Bônus de Cadência de Tiro: <Green_24>%s%</>
DivineTechText/Param_WeaponMagazineRedu,[Weapon] Magazine Capacity Reduction: <red_12>%s%</>,[Arma] Redução de Capacidade do Carregador: <red_12>%s%</>
DivineTechText/Param_WeaponMagazineInc,[Weapon] Magazine Capacity Bonus: <Green_24>%s%</>,[Arma] Bônus de Capacidade do Carregador: <Green_24>%s%</>
DivineTechText/Param_WeaponRicochetInc,[Weapon] Ricochet Count Bonus: <Green_24>%s</>,[Arma] Bônus de Ricochetes: <Green_24>%s</>
DivineTechText/Param_WeaponProjInc,[Weapon] Projectile Count Bonus: <Green_24>%s</>,[Arma] Bônus de Projéteis: <Green_24>%s</>
DivineTechText/Param_WeaponPierceInc,[Weapon] Pierce Count Bonus: <Green_24>%s</>,[Arma] Bônus de Perfuração: <Green_24>%s</>
DivineTechText/Param_PsionicDMGInc,[Psionic] Damage Bonus: <Green_24>%s%</>,[Psiônico] Bônus de Dano: <Green_24>%s%</>
DivineTechText/Param_PsionicRangeInc,[Psionic] Area Bonus: <Green_24>%s%</>,[Psiônico] Bônus de Área: <Green_24>%s%</>
DivineTechText/Param_AuxWeaponDMGInc,[Auxiliary Weapon] Damage Bonus: <Green_24>%s%</>,[Arma Auxiliar] Bônus de Dano: <Green_24>%s%</>
DivineTechText/Param_AuxWeaponDUInc,[Auxiliary Weapon] Duration Bonus: <Green_24>%s%</>,[Arma Auxiliar] Bônus de Duração: <Green_24>%s%</>
DivineTechText/Param_ChaseDMGInc,[Chase] Damage Bonus: <Green_24>%s%</>,[Perseguição] Bônus de Dano: <Green_24>%s%</>
DivineTechText/Param_ChaseRangeInc,[Chase] Area Bonus: <Green_24>%s%</>,[Perseguição] Bônus de Área: <Green_24>%s%</>
DivineTechText/TechDesc7041,[Poisoned] enemies have a chance to drop an explosive grenade on death.,Inimigos [Envenenados] têm chance de soltar uma granada explosiva ao morrer.
DivineTechText/TechName7041,Parting Gift,Presente de Despedida
DivineTechText/TechDesc1018,"Fires a sustained laser beam from orbit that automatically tracks ground targets, dealing continuous damage and leaving behind scorched ground.","Dispara um feixe de laser contínuo a partir da órbita, que rastreia automaticamente alvos no solo, causa dano contínuo e deixa o chão em chamas."
DivineTechText/Param_RangeSpread,Spread Area: <Green_24>%s</>,Área de Dispersão: <Green_24>%s</>
DivineTechText/Param_DMGMult,Damage Multiplier: <Green_24>%s%</>,Multiplicador de Dano: <Green_24>%s%</>
DivineTechText/TechUI4016_1,Damage Multiplier: <Green_24>%s%</>,Multiplicador de Dano: <Green_24>%s%</>
DivineTechText/Param_DMGInc,Damage Bonus: <Green_24>%s%</>,Bônus de Dano: <Green_24>%s%</>
DivineTechText/Qiangjiang_Passive4_Name,Damage Boost,Impulso de Dano
DivineTechText/Param_DMGRadius,AoE Radius: <Green_24>%s</>,Raio de Área: <Green_24>%s</>
DivineTechText/Param_DMG,Damage: <Green_24>%s</>,Dano: <Green_24>%s</>
DivineTechText/Param_Flat_DMG,Damage: <Green_24>{Param}</>,Dano: <Green_24>{Param}</>
DivineTechText/TechDesc7037,You deal extra damage to incapacitated ([Stunned]/[Frozen]) enemies.,Você causa dano adicional a inimigos incapacitados ([Atordoado]/[Congelado]).
DivineTechText/BaoZha_Chase2_Desc,There is a chance to launch 3 homing missiles at enemies on hits.,Acertos têm chance de lançar 3 mísseis teleguiados contra inimigos.
DivineTechText/LieYan_Passive7_Desc,Increases your Status Ailment damage. Dead enemies spread their debuff to nearby foes.,Aumenta seu dano de Aflições de Status. Inimigos mortos espalham seus efeitos negativos para adversários próximos.
